,entity,year,source,production_percent,consumption_percent,renewable,cp_ratio,production_relative_to_source,consumption_relative_to_source,cp_ratio_relative_to_source,date
6972,Egypt,2017,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2017-01-01
6973,Egypt,2018,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2018-01-01
6974,Egypt,2019,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2019-01-01
6975,Estonia,2000,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2000-01-01
6976,Estonia,2001,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2001-01-01
6977,Estonia,2002,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2002-01-01
6978,Estonia,2003,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2003-01-01
6979,Estonia,2004,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2004-01-01
6980,Estonia,2005,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2005-01-01
6981,Estonia,2006,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2006-01-01
6982,Estonia,2007,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2007-01-01
6983,Estonia,2008,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2008-01-01
6984,Estonia,2009,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2009-01-01
6985,Estonia,2010,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2010-01-01
6986,Estonia,2011,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2011-01-01
6987,Estonia,2012,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2012-01-01
6988,Estonia,2013,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2013-01-01
6989,Estonia,2014,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2014-01-01
6990,Estonia,2015,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2015-01-01
6991,Estonia,2016,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2016-01-01
6992,Estonia,2017,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2017-01-01
6993,Estonia,2018,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2018-01-01
6994,Estonia,2019,nuclear,0.0,0.0,False,0.0,0.0,0.0,-0.9137958562442131,2019-01-01
6995,Europe,1985,nuclear,24.11919163889061,8.155,False,0.3381124924124985,0.8786853782943416,0.8437509308754242,0.8874920936789246,1985-01-01
6996,Europe,1986,nuclear,25.07531733909934,8.519,False,0.33973647809898416,0.8834374558334313,0.8500479560626505,0.8928843319363934,1986-01-01
6997,Europe,1987,nuclear,25.253963722491555,8.69,False,0.34410439863982845,0.8842979511987611,0.8528684611233748,0.9072858972258064,1987-01-01
6998,Europe,1988,nuclear,27.032986942133917,9.464,False,0.3500907990766386,0.8924362582968567,0.8646579389148386,0.9267861999999774,1988-01-01
6999,Europe,1989,nuclear,27.77345578447597,9.955,False,0.35843576965184026,0.8956104745132197,0.871405056405356,0.9535196799574636,1989-01-01
7000,Europe,1990,nuclear,27.839072081117703,9.945,False,0.3572317342698127,0.8958861534805945,0.8712727242951915,0.949694398645663,1990-01-01
7001,Europe,1991,nuclear,28.41370218506704,10.355,False,0.36443684573572116,0.8982629044177248,0.8765372063281435,0.9724273113423751,1991-01-01
7002,Europe,1992,nuclear,28.969142362645663,10.745,False,0.3709119125961826,0.9004983930362755,0.881256837945637,0.9925370463426343,1992-01-01
7003,Europe,1993,nuclear,30.26053938889926,11.394,False,0.3765299703871029,0.9054755660347062,0.8885537111029568,1.0097446045111738,1993-01-01
7004,Europe,1994,nuclear,29.82280478864953,11.539,False,0.3869186711905685,0.9038217371491091,0.8900969289014959,1.0409885545287363,1994-01-01
7005,Europe,1995,nuclear,29.78854139147992,11.613,False,0.38984788974332035,0.9036908769106836,0.8908730032817771,1.0496656582750261,1995-01-01
7006,Europe,1996,nuclear,30.775884333656755,11.941,False,0.387998598855573,0.907380937857506,0.8942228848457359,1.044194285658451,1996-01-01
7007,Europe,1997,nuclear,30.75951111955882,12.121,False,0.39405697811278645,0.9073210783477803,0.8960012898068058,1.0620337865294294,1997-01-01
7008,Europe,1998,nuclear,29.82603999642151,11.904,False,0.3991143310150535,0.903834082512718,0.8938521663450929,1.0767399520904481,1998-01-01
7009,Europe,1999,nuclear,29.647383971039567,12.034,False,0.4059042784940204,0.9031495720837731,0.89514687840028,1.0962232107783199,1999-01-01
7010,Europe,2000,nuclear,28.970681631028373,11.99,False,0.41386668607611876,0.9005045062022203,0.8947111050993732,1.1186968828094142,2000-01-01
7011,Europe,2001,nuclear,29.36165473252219,12.147,False,0.413702841704813,0.9020429477012839,0.8962547869179942,1.118238445685527,2001-01-01
7012,Europe,2002,nuclear,29.45905370781212,12.272,False,0.4165782146880584,0.902421828985802,0.897461864873499,1.1262595413574013,2002-01-01
7013,Europe,2003,nuclear,28.98554344946805,12.08,False,0.41675947946463965,0.9005635066024904,0.8955998254432411,1.1267634792924315,2003-01-01
7014,Europe,2004,nuclear,28.80048154953208,12.022,False,0.41742357603723196,0.8998258456254912,0.8950282764339424,1.1286080159524026,2004-01-01
7015,Europe,2005,nuclear,28.03611203066833,11.758,False,0.41938768068618354,0.8967086642145874,0.8923717331450883,1.1340474604767192,2005-01-01
7016,Europe,2006,nuclear,27.59281543909491,11.561,False,0.41898587788253694,0.8948468983043473,0.890328455791129,1.1329366239723861,2006-01-01
7017,Europe,2007,nuclear,25.975210872613687,11.05,False,0.4254055935942484,0.8876891910577822,0.8847682376589463,1.1505670884297217,2007-01-01
7018,Europe,2008,nuclear,25.80607125387461,11.029,False,0.4273800491170879,0.886905566173453,0.8845312686774299,1.1559394397845355,2008-01-01
7019,Europe,2009,nuclear,25.79646363443137,11.092,False,0.42998141749922464,0.8868608431889302,0.8852401008922606,1.1629819790891318,2009-01-01
7020,Europe,2010,nuclear,25.383871189947577,10.923,False,0.43031261537151533,0.8849184754717262,0.8833244504503741,1.1638757218256641,2010-01-01
